"","Sample","p0","meanlog","sdlog"
"1",NA,NA,NA,NA
"p0","MD_RTLC_01",0.00240948028476842,8.38511048518746,1.51650089257863
"p01","MD_RTLC_02",0.00266104112159077,8.78567282165326,1.64058543663042
"p02","MD_RTLC_03",0.00338852607275727,8.38551434577974,1.79517522487277
"p03","MD_RTLC_04",0.00132833973382709,8.8252828070792,1.85556356978247
"p04","MD_RTLC_05",0.00285435783731443,8.53409386359795,1.83249439309097
"p05","MD_RTLC_06",1e-04,8.67533502177339,1.8956918376055
"p06","MD_RTLC_07",0.00213368428539757,8.11610112328239,1.70311590141191
"p07","MD_RTLC_08",0.00134862771025977,8.46087309804311,1.86534509806949
"p08","MD_RTLC_09",0.00132219526109086,8.46353935101913,1.79204418463669
"p09","MD_RTLC_10",0.00137496518494424,8.62413611688183,1.83928727347942
"p010","MD_RTLC_11",0.00214809792980697,8.5466094625832,1.5045781713082
"p011","MD_RTLC_12",0.00245386590497415,8.49937923077106,1.50313164787804
"p012","MD_RTLC_13",0.00230473488356796,8.95427379541755,1.65187071090831
"p013","MD_RTLC_14",0.00269588258999322,9.15367079427551,1.77045595620717
"p014","MD_RTLC_15",0.0012805581848747,9.07213618061127,1.72691578877675
"p015","MD_RTLC_16",0.00296709130593945,8.6756738133878,1.76601189472559
"p016","MD_RTLC_17",0.00128468878188242,8.84377155508334,1.81257725175451
"p017","MD_RTLC_18",0.00130183832316368,8.8425336385975,1.85572216681949
"p018","MD_RTLC_19",0.00123690594176182,9.17076948781587,1.91104603413405
"p019","MD_RTLC_20",0.00133989706174039,9.16325080466387,1.92931148817652
"p020","MD_RTLC_21",0.00293673894703699,8.94151181281398,1.83390285247837
"p021","MD_RTLC_22",0.00221967105219779,9.16248946747594,1.77724416007845
"p022","MD_RTLC_23",0.00104051313809444,8.87273282002348,1.43330408642226
"p023","MD_RTLC_24",0.000562023246758731,8.86626389017664,1.49691951893957
"p024","MD_RTLC_25",0.00178799337249827,8.85437212410676,1.47569951749164
"p025","MD_RTLC_26",0.00181011283144688,8.57206226149373,1.42784574319234
"p026","MD_RTLC_27",0.00185554053878803,8.47133512061542,1.57309432141353
"p027","MD_RTLC_28",0.000943197869019348,8.67052566331588,1.50181737163168
"p028","MD_RTLC_29",0.00105362895242604,8.93663830020333,1.64176892786214
"p029","MD_RTLC_30",0.000763396829835377,8.71884181103826,1.53568876055819
"p030","MD_RTLC_31",0.00169554936099198,8.85622509353836,1.59143895236721
"p031","MD_RTLC_32",0.00111124814026447,9.07615445885906,1.7400167076477
"p032","MD_RTLC_33",0.00106691050813005,8.98921466899786,1.67283372410018
"p033","MD_RTLC_34",0.00104701951449707,8.80462704330206,1.54427777682798
"p034","MD_RTLC_35",0.00114519634461431,8.90448921595206,1.5919145168602
"p035","MD_RTLC_36",0.000733435703117439,8.68657923786906,1.51831269983173
"p036","MD_UL_01_A",0.00247033260516421,9.21119179669272,0.922996794358634
"p037","MD_UL_02_A",0.00285274932262145,9.09402774159945,0.870998505173817
"p038","MD_UL_03_A",0.00241622244194988,8.98214733351792,0.842274037988706
"p039","MD_UL_04_A",0.00234070819531302,8.99607118413264,0.783965389593807
"p040","MD_UL_05_A",0.00220507462633829,9.12762390788536,0.826777599978829
"p041","MD_UL_06_A",0.0030592446986409,8.98300452345285,0.787522840083171
"p042","MD_UL_07_A",0.00208844911567263,9.06664090784493,0.815858424420343
"p043","MD_UL_08_A",0.00236500243785075,9.11905366272388,0.783736082210272
"p044","MD_UL_09_A",0.00200062752524815,9.01570788959235,0.773959276000976
"p045","MD_UL_10_A",0.00189019164596504,9.03683064504223,0.78307949372033
"p046","MD_UL_11_A",0.00189981396712485,9.12766634436819,0.815749344795217
"p047","MD_UL_12_A",0.00177844220891531,9.12792813616967,0.776058528222168
"p048","MD_UL_13_A",0.00198704552177344,9.07401222392419,0.792225547701917
"p049","MD_UL_14_A",0.00143016375089937,9.19597809878039,0.793208620020126
"p050","MD_UL_01_B",0.00248713937906482,9.12950797758428,0.887466125500039
"p051","MD_UL_02_B",0.00225750096728266,9.16415199971197,0.846425102723184
"p052","MD_UL_03_B",0.00234956706202974,8.99363142137513,0.825889257100248
"p053","MD_UL_04_B",0.00271074269444794,9.05833475660822,0.797729880053299
"p054","MD_UL_05_B",0.00198383444727734,8.97161817339425,0.750405040871609
"p055","MD_UL_06_B",0.00293308013003324,8.9393345752888,0.776371411255915
"p056","MD_UL_07_B",0.00221710707084944,8.98956436763856,0.757303246497325
"p057","MD_UL_08_B",0.00204051211847572,9.00923101073528,0.750788338163292
"p058","MD_UL_09_B",0.00193733040945792,9.00232027149442,0.818360501283065
"p059","MD_UL_10_B",0.00227335146161054,9.06787097185371,0.792052949130965
"p060","MD_UL_11_B",0.00181501882054896,9.12049883541724,0.84379592837482
"p061","MD_UL_12_B",0.00174948510580919,9.10249666387334,0.760978266736116
"p062","MD_UL_13_B",0.00174474956951214,8.99663243056366,0.915420770603543
"p063","MD_UL_14_B",0.0013744790070453,9.19686534818461,0.818470506824864
"p064","MD_GSSF_T1_A",0.00247450687786922,6.92954449307924,0.766112343887085
"p065","MD_GSSF_T1_B",0.00445840084072906,7.0102200405336,0.818827402821056
"p066","MD_GSSF_T1_C",0.00677318999856435,7.09416015146484,0.989459274125986
"p067","MD_GSSF_T1_D",0.00493126193016594,6.91776599403205,0.778098375787329
"p068","MD_GSSF_T1_E",0.00374419470933286,7.07779010101001,0.962508875814246
"p069","MD_GSSF_T2_A",0.00153792883632115,8.08200902757346,1.7345754956583
"p070","MD_GSSF_T2_B",0.00142582273708785,8.00948080664001,1.77100508519792
"p071","MD_GSSF_T2_C",0.0005068918664367,8.19077084373623,2.3819808992679
"p072","MD_GSSF_T2_D",1.92562117343419e-05,9.90083344431571,2.48086557049614
"p073","MD_GSSF_T2_E",0.00137053132978695,9.27854297275514,2.42487898549115
"p074","MD_GSSF_T3_A",0.000379932522042226,10.3816531701412,2.36546094895595
"p075","MD_GSSF_T3_B",0.00322036710213363,10.4105216198643,2.14766386613433
"p076","MD_GSSF_T3_C",0.000129378893502702,10.6086764549873,2.24715163379367
"p077","MD_GSSF_T3_D",0.0276168952091348,11.2740046265609,1.35346409242694
"p078","MD_GSSF_T3_E",0.000494051510526079,11.1417509287497,1.69639734080203
"p079","MD_GSSF_T4_A",0.000816639400918334,8.69136895627054,2.89031517036187
"p080","MD_GSSF_T4_B",9.75302724386395e-05,11.3646009273094,1.02463365166481
"p081","MD_GSSF_T4_C",0.012526431576755,11.3868443503953,1.05327190187256
"p082","MD_GSSF_T4_D",0.00176004439825321,11.3366858749527,0.812346057695641
"p083","MD_GSSF_T4_E",0.00161661877127049,11.4386961682313,1.13862557280784
"p084","MD_GSSF_T5_A",0.00134849512170708,11.326803158321,0.757736944206009
"p085","MD_GSSF_T5_B",0.0037748009207916,11.1509991496639,0.689307996696432
"p086","MD_GSSF_T5_C",0.000424102397946513,11.2701619537326,0.741651391906388
"p087","MD_GSSF_T5_D",0.000133162777219453,11.2176134590035,0.752492312238659
"p088","MD_GSSF_T5_E",0.000785292109328973,11.136896501591,1.19925677116261
"p089","MD_GSSF_T6_A",3.48701129751928e-06,11.1615532215665,0.842126588984045
"p090","MD_GSSF_T6_B",1.37437311365143e-05,10.9839761951928,0.884901244221825
"p091","MD_GSSF_T6_C",0.0010061575168835,11.0505553363252,0.742705222228957
"p092","MD_GSSF_T6_D",0.00120473243677089,11.0225439892638,0.815911830481355
"p093","MD_GSSF_T6_E",0.000359974775425015,10.8699573872896,1.06356469267547
"p094","MD_GSSF_T7_A",0.0045842876403106,11.0242151439265,0.875309295803913
"p095","MD_GSSF_T7_B",0.000321309460100229,11.0230221517975,0.749498003387424
"p096","MD_GSSF_T7_C",0.000294367784565855,11.1265023942291,0.829473000337439
"p097","MD_GSSF_T7_D",0.0017402541912432,10.9881526459912,0.727529621976366
"p098","MD_GSSF_T7_E",0.000709701008164704,10.9900976687974,1.03477098618423
"p099","MD_GSSF_T8_A",0.000107927517565442,11.134025589031,0.841863949424204
"p0100","MD_GSSF_T8_B",0.000128794926055434,10.8934480661331,0.686104756089476
"p0101","MD_GSSF_T8_C",1e-04,10,1.23622523254263
"p0102","MD_GSSF_T8_D",0.000179568729284662,10.9192446338896,0.798109590125994
"p0103","MD_GSSF_T8_E",0.00199920416986281,10.8372807255154,0.928610092474056
"p0104","MD_GSSF_T9_A",0.000470102514950614,11.1520017268946,0.864245929831799
"p0105","MD_GSSF_T9_B",0.00155558027004486,10.9617870295366,0.687289553483091
"p0106","MD_GSSF_T9_C",0.00126550717668013,10.9316153756278,0.752172194942713
"p0107","MD_GSSF_T9_D",0.00264344489640941,10.7806385576889,0.734734267758734
"p0108","MD_GSSF_T9_E",0.000629370002233383,10.8180141423422,0.912622367860508
