"","MD_ULRG_01_A","MD_ULRG_02_A","MD_ULRG_03_A","MD_ULRG_04_A","MD_ULRG_05_A","MD_ULRG_06_A","MD_ULRG_07_A","MD_ULRG_08_A","MD_ULRG_09_A","MD_ULRG_10_A","MD_ULRG_11_A","MD_ULRG_12_A","MD_ULRG_13_A","MD_ULRG_14_A","MD_ULRG_01_B","MD_ULRG_02_B","MD_ULRG_03_B","MD_ULRG_04_B","MD_ULRG_05_B","MD_ULRG_06_B","MD_ULRG_07_B","MD_ULRG_08_B","MD_ULRG_09_B","MD_ULRG_10_B","MD_ULRG_11_B","MD_ULRG_12_B","MD_ULRG_13_B","MD_ULRG_14_B"
"17",5278,5572,15444,5888,7294,17982,18066,10818,18410,3719,19298,3935,2572,3116,5665,11159,20281,4044,17929,7133,14844,5353,3366,54857,1e+05,94222,2590,4164
"18",16607,4731,4239,16580,5011,3466,5128,26024,7018,5215,9736,4908,13089,2864,7002,7006,3234,14835,30064,9422,2582,11635,9558,10991,3787,7844,2362,19872
"19",13767,26135,2844,4997,26571,12242,5693,6399,8278,12646,4633,29512,55942,25357,7559,10079,2750,6952,2722,4878,5450,3394,2619,7048,16127,6720,3015,4666
"20",21219,9539,27917,8159,7620,7086,46462,14995,12166,13423,8383,7463,5749,4937,5917,8044,6578,14973,3312,21269,3853,7996,8868,2614,7996,20596,14659,24874
"21",2613,4354,15932,2678,4792,23872,3138,10802,6392,2772,84614,3290,3976,10038,2819,3791,10133,39287,17003,2900,12153,8127,10321,4063,3135,28105,14022,13216
"22",4865,20808,12809,10408,5267,36342,7632,2903,2859,2425,7474,31012,10302,59309,15689,8699,4121,5534,9343,16007,19592,3608,11199,13348,10804,9790,4232,2789
"23",7010,10597,10467,7221,16910,3063,39122,64838,4019,8162,1e+05,2644,7548,26151,6552,7148,4820,7004,3365,5084,3835,4620,11661,4290,3390,2928,2258,3764
"24",7953,6212,20763,5642,6294,4889,10898,7366,4261,4806,2482,27552,3114,21365,4213,59713,24040,4288,4714,4424,10435,5626,12699,3473,2768,13556,9613,27779
"25",11891,3064,3288,2438,32568,5012,48894,11894,16145,2458,15106,18480,48941,11881,3021,3197,3741,2696,4134,6450,6223,6081,4605,16287,7907,4117,2277,6048
"26",6642,16713,3084,3895,27485,5669,8272,18436,4790,5425,9631,5814,7996,5734,8486,13602,79952,3802,12177,7840,10591,8913,5394,7099,5351,6029,13067,4312
"27",6165,3855,2864,12572,32308,4485,6119,7451,21096,3348,11706,4162,10767,29946,3552,4249,3440,16873,14416,19539,6909,3713,4520,4384,47576,16454,6575,4710
"28",20859,5295,20162,34402,6695,29710,52667,1e+05,8423,13544,22122,11245,7660,14575,17691,61566,2558,19616,3590,2757,7360,4598,4756,14886,2880,3843,3653,10782
"29",63452,3113,5536,24553,3087,10331,11187,5058,16922,21797,10198,13021,8981,17975,9538,1e+05,4479,2912,8165,4741,7271,4138,2738,12771,2856,10896,2993,6341
"30",54487,3028,9607,39111,11397,12807,4484,3031,16817,5739,5753,4090,3003,5423,4716,6874,15894,6860,7126,4722,3545,6160,13588,19310,8511,2681,2790,8322
"31",10606,6477,3050,7365,17053,3343,4720,22207,4226,6433,56418,7094,3922,18751,5425,29267,4634,2529,11534,8547,21773,5075,19393,3342,24963,16969,15129,14739
"32",8761,6267,24274,16271,2515,16431,9089,3167,9364,7154,22103,5531,2925,13698,7501,35211,3802,15609,13165,3131,5674,4622,14318,6736,11132,4848,6651,4567
"33",15197,16713,3590,3494,4583,12286,8975,8394,8094,11760,3410,5648,8168,6771,11710,1e+05,27183,3184,15027,9202,3700,4039,10882,20829,3823,18378,1e+05,1e+05
"34",23419,14921,3995,2736,10660,4164,16556,3354,7739,6257,9351,5683,4972,5698,8069,21498,5233,11084,5745,4747,1e+05,15764,16969,54739,5053,2472,3705,18851
"35",3934,10749,4018,17032,36735,35511,13965,4798,9430,4136,20787,5114,5781,22850,2459,11874,39067,5912,3506,4251,9026,5770,5291,6967,2956,3427,10305,53388
"36",2859,2863,5591,4314,13289,14526,16981,3062,15031,10656,6763,36286,26231,10436,16861,2886,15323,30524,7866,2900,7141,3952,3772,14091,5388,22289,2398,8802
"37",2432,7826,15165,4257,15423,21499,9961,4191,6812,11257,4596,13073,27736,13262,5307,1e+05,11253,7986,17596,4875,8167,21301,12372,11908,2435,13018,2731,10277
"38",14125,17438,3579,4092,9798,12709,2495,14370,8441,4587,26464,6936,5452,2909,12398,6872,30559,12158,2613,9369,2760,3966,8158,44962,4078,11541,10934,5982
"39",4786,5445,38752,4250,16273,15930,3520,8420,9833,6476,21122,18051,5703,16897,7479,11751,13076,2760,32159,4535,8664,6044,3623,11581,4834,10767,21715,12785
"40",16411,9912,1e+05,6733,7105,4674,10700,8599,4490,2718,5209,4852,4793,6262,1e+05,3646,15341,5373,7871,5907,9755,6732,10788,2727,12228,24318,10224,11248
"41",6485,2536,8034,8139,10091,7936,8039,4432,13333,62754,16699,10164,5301,77697,7006,7239,3629,40367,6580,2406,4756,4360,5606,18444,9129,54100,2933,15583
"42",10049,24266,2758,7033,3287,14987,7792,16861,5447,7841,3403,13687,5439,13736,10596,3736,3976,13995,6756,4803,4610,6186,15786,6821,17149,9748,10279,3419
"43",1e+05,17729,5162,17738,51815,7266,45960,12278,26692,2848,6829,3246,14960,12869,20318,10544,7363,6691,10147,5308,15927,4191,2471,6289,16762,8846,5506,25259
"44",6022,27710,3960,3499,2718,36551,11256,8649,3532,16645,21290,2896,8135,5728,5697,7753,4196,2666,5965,4271,3817,2579,6607,2999,2662,4165,5857,3695
"45",4080,11607,10017,4869,2638,9412,13386,2955,13957,16616,2604,7285,3424,4463,24741,23617,2605,4774,3220,9088,16505,4287,6261,11562,6539,5644,21600,7252
"46",4055,11422,53292,2849,3148,7286,3339,6971,12801,5984,10224,4397,2547,6643,61070,12141,2740,14152,3444,95795,43144,4935,20553,14595,4187,4627,3816,9705
"47",12500,2428,2757,2422,17192,19371,13283,5838,8728,8100,21069,5709,35213,4908,21384,9592,8144,20818,7877,7690,1e+05,14337,6187,8558,1e+05,6588,10177,8387
"48",9050,13568,19193,13497,4862,3152,4947,13247,4997,4547,6859,7696,7007,5823,5125,15108,3956,3184,7167,4745,5567,6699,2423,5471,3823,10343,14796,6453
"49",32661,3888,11472,2599,2856,14575,7977,10331,9981,15536,3048,4051,10096,14259,14382,4532,11467,2940,11393,3830,12747,3542,10602,3062,3240,11793,14266,3951
"50",5463,8135,14705,47489,3363,5148,24395,4557,2475,18893,3276,15760,9431,9939,3519,39693,8650,42635,7706,6601,4180,8240,6473,20739,4114,5298,15930,2730
"51",32182,27728,6053,3415,18601,4328,5732,11348,7368,16404,57699,8628,6159,5983,13507,5848,11250,20368,5900,4371,18579,3027,5090,3061,2953,4842,8019,6632
"52",6010,3107,11223,5132,8461,1e+05,12944,4814,4041,4113,37720,10333,4317,29966,8084,26463,3682,11980,8456,4982,4320,7103,4471,6297,5118,6950,2577,13168
"53",12481,3766,5036,7336,6193,2690,70408,19712,1e+05,11517,3045,8820,5711,1e+05,10881,10190,3848,5026,13337,6206,7646,3245,6494,41645,17344,3793,14948,4106
"54",11985,6885,8565,3004,6341,2604,4856,5341,5316,10412,2534,3215,4960,8505,5755,2967,5658,27479,2585,5491,14365,7139,7861,6023,8437,3558,11484,5736
"55",7713,21012,28955,16016,20471,6987,15666,13805,2759,14556,30141,5133,3070,8880,34874,93858,4790,1e+05,12676,10393,2428,33290,12890,23132,9541,7570,81839,26434
"56",72710,3934,3060,7195,19413,8256,6503,12773,12550,4263,13792,9478,16929,7539,9814,7813,3618,17890,13398,26157,14740,2605,4614,9112,49757,9650,2073,8536
"57",3167,2861,8637,15899,3180,57397,19481,9937,3009,3074,27791,7814,9212,45948,11189,5129,10763,5683,10752,2832,27146,15963,13646,9202,89529,3548,2129,5016
"58",24002,2525,4188,31910,7877,9442,3167,90599,6829,31700,23623,13307,16912,2815,9973,11040,4739,26735,4782,27342,8124,7822,14027,22596,2666,4182,2511,6174
"59",3952,14330,2436,14188,11864,4972,21934,23444,3569,10552,16355,2855,11840,6674,33265,27231,3792,25861,3429,14640,5247,8107,13487,17719,15727,75566,3930,15580
"60",2720,26720,8253,17707,26340,2744,16560,16643,12030,6623,11879,12589,12190,3338,4038,4302,34761,3241,10690,4158,13814,10972,2417,8356,4634,4059,4238,8244
"61",9253,4705,6911,9093,46559,7448,4337,4010,6498,8716,2901,10410,41652,26717,10655,30096,5920,3976,8574,5209,5277,18434,8339,14222,3559,6384,22350,6582
"62",5131,3639,12204,11050,4093,9200,11773,4634,43601,15635,8953,9547,45719,9124,13625,8981,6140,24520,20387,2638,5148,23150,3514,5329,25330,9279,2426,2802
"63",13529,10368,5728,2439,9414,8772,10623,12703,5679,3763,33483,5830,14494,22455,3192,7689,2724,7842,7984,3479,5720,5660,5486,6666,15946,4219,14710,18040
"64",4507,5122,12060,6465,3471,13333,6939,23917,2644,9091,28169,4617,24544,2967,13764,91620,22561,13088,3705,3171,8556,14415,4268,44686,24047,4026,11055,6723
"65",8381,19520,33550,4709,7111,7857,2734,1e+05,4196,22520,10032,14177,18064,5123,2682,8711,2591,6434,27622,12119,5067,11880,25177,21292,7203,20534,2706,16472
"66",1e+05,9529,78809,16643,12774,8764,9929,4289,37194,10316,4542,10254,7400,4053,67576,14550,4375,4191,5314,4603,8458,2675,3486,30565,5867,2454,4372,11781
"67",7253,2608,19362,6867,31645,28466,9439,9504,3206,4172,17186,4318,4137,9164,6924,11959,8455,7537,4760,32611,14997,3907,7136,6561,59892,4938,22968,35795
"68",16485,7072,8798,93262,3290,5183,13255,6405,11246,2425,4572,5786,1e+05,15457,5307,6684,12909,2484,4983,11629,9298,12541,11826,17610,6728,65437,5921,80396
"69",14420,2875,2743,13972,12520,3249,2611,10408,4581,2810,2746,18410,6077,7464,3079,99836,4133,8039,6144,7038,5823,16990,6801,23189,4881,4683,24075,4698
"70",6187,3197,2769,8139,5101,5699,3774,3340,7255,7523,2812,25117,8526,5302,85508,9021,4571,4497,4440,6100,16552,38629,2489,7945,9788,7635,9003,2903
"71",11676,35175,11118,3427,5213,3840,12592,3790,17158,19840,3141,7986,2799,6132,6313,10771,6228,11187,28793,15326,5170,10177,3995,13345,34920,5025,3661,8761
"72",16313,20908,6280,18663,3467,3263,16981,2587,7515,5236,7879,3608,4306,29061,8915,16358,4443,13773,10603,5714,34081,4551,3056,15938,3601,8493,2556,2652
"73",11660,2715,7226,23001,17461,27716,12931,12228,3604,3627,26919,10806,15616,3476,27497,11090,2412,9229,7960,4921,2880,4964,3023,39130,60276,6396,4175,8207
"74",8042,6457,5941,7470,6295,4815,4629,6185,24535,10435,6597,13722,3005,5451,10622,3580,4239,6433,3747,3278,36982,18000,6268,2650,7723,8466,10621,5492
"75",3017,14404,11622,5038,8163,5520,8058,1e+05,2518,3434,9732,6356,15846,10693,5422,3143,17527,5884,21723,5563,7859,5612,4438,4988,5404,4651,9241,10394
"76",11693,5003,45472,6377,10530,4201,7144,3737,2889,14743,3829,4197,7243,3462,3727,10296,10531,4471,22070,15434,25485,9777,12255,5158,15357,3117,3376,3093
"77",24807,40291,15547,3373,11662,2591,6066,8224,19432,5467,8575,4114,14944,5196,2847,9089,8113,7504,3423,12561,10516,2998,2657,4634,13580,2692,15661,20432
"78",2688,5921,20820,4994,15972,26494,7846,9636,23367,6622,8369,11131,18372,14895,76321,15425,6242,1e+05,5638,3851,13295,6112,2814,11412,30180,12499,8839,16593
"79",5758,3378,9090,21146,3276,6944,11366,3937,8927,3296,2719,3454,4675,5428,5789,20120,4606,9496,22163,3073,4520,7217,6961,3011,8880,6406,3134,31433
"80",32487,13097,3373,10241,5569,29456,33008,13113,28103,14861,8162,3178,14598,7277,4917,19070,11940,10465,9009,8986,5101,4594,18784,12213,17895,12496,10392,8813
"81",4876,6121,5793,4944,31092,7480,3039,2674,3404,9077,4896,6332,6187,2424,4548,3013,5319,9205,16510,14479,14097,12424,3569,11016,17860,12138,10857,9027
"82",48190,5873,8185,3672,21128,5671,10062,2754,6854,16543,5418,11037,5441,5004,17494,11616,5684,5144,6874,4293,5772,3358,2866,85873,6948,5197,8846,7558
"83",6082,7125,2445,11322,8203,68793,2873,3410,7197,3044,4509,7109,2629,2683,53110,9757,6082,29612,7138,9823,3951,4731,10290,8009,6568,10288,10677,6248
"84",4092,6120,38056,17232,7801,5561,10296,3460,6613,5319,3490,6951,12962,17630,8595,35054,15412,3126,5423,37588,11873,2516,14058,32236,9405,3335,5844,10485
"85",22538,4031,3268,3539,8595,9065,5842,3657,2892,4548,5271,5832,9130,4263,3989,4153,8426,56985,10839,3152,6556,14629,15933,6342,2807,13077,6956,8284
"86",9927,11804,2875,14341,2649,2557,6849,73958,12516,32891,14629,3238,17446,11827,2930,2804,3157,24651,22761,10546,15382,4034,4389,5807,6473,7196,7491,58329
"87",5551,3805,17312,6127,11086,3618,17661,16208,4665,9630,4062,6117,9838,3375,3408,7061,4291,9697,6658,5163,6880,6031,2732,9994,5824,11637,6414,10172
"88",45604,2869,18454,6830,5475,3077,10438,25977,38815,14065,2982,12687,5912,4742,2547,6318,34351,20717,11222,19630,3399,9502,23858,22356,4199,2682,10694,12023
"89",45685,27798,11421,3926,5708,1e+05,18741,33140,2791,9988,12311,5629,9292,4340,4068,13270,10084,2839,3240,6120,2576,10107,13229,15560,18696,5523,3581,4973
"90",2650,13988,51737,9359,10929,2830,13695,12368,4303,4764,8643,45028,2839,5618,11499,6585,4563,3427,2503,4089,4917,26579,5668,5271,12630,32073,2088,12349
"91",12629,4741,5108,23400,6749,6683,4263,4484,35248,52609,7426,4122,3307,16511,2417,45727,5698,2652,16422,10678,5031,8100,23342,5516,18066,12707,2091,10466
"92",66205,3779,3403,11060,9388,1e+05,9482,4822,17603,25339,24927,3919,6088,8516,6482,3931,8987,9019,8838,5683,5063,17624,8956,3332,4701,5890,8950,3032
"93",4593,20781,26805,1e+05,4381,8128,6995,8741,5589,20079,3950,9301,17800,9897,3043,3504,2854,10641,7062,2813,15171,8982,26099,10445,5724,3892,20092,14449
"94",15887,4251,5459,6661,6835,10198,19317,14730,4480,22912,18315,3743,4040,42893,8054,33074,71105,14662,3191,2577,11252,10714,5946,5640,5453,6012,1985,7555
"95",11929,19504,2631,10514,3073,17195,5230,8624,8914,4177,12076,4186,9925,33114,39200,6674,4708,18283,5107,3910,3863,3997,18361,90783,4064,15090,75298,13847
"96",3559,14307,6700,2713,3859,5619,2611,6836,13162,6539,18403,6359,11490,16711,27231,10847,10830,23076,5248,2921,7920,3780,12015,3771,35932,9995,6838,2705
"97",6499,6955,17536,6838,3048,9691,2673,2577,8478,5335,2668,7921,39778,39257,3365,9241,8741,6997,12697,6569,24901,4813,10500,6716,5182,9159,2195,3874
"98",26607,5278,9172,5977,11119,23745,3619,6480,16946,3954,3832,2436,31344,9463,9062,4184,8601,7597,13055,3258,5291,16089,2742,6438,2649,9809,3560,11931
"99",4247,23274,2414,10884,6132,14802,18393,10628,7521,4247,7897,3567,7071,8627,70716,18714,10097,5887,9831,3569,2887,11530,5213,7150,8027,3510,6978,3764
"100",3321,12338,3675,66359,4524,2937,6878,9858,2559,9381,10809,4925,3650,2624,19729,69435,3031,4067,13285,4850,2437,5137,6468,2812,6241,20189,18492,15024
"101",13685,4854,11552,9562,20157,4790,22315,17746,10781,7933,5432,26871,13089,3252,12144,20061,8321,9700,15653,6371,5251,4064,13008,35208,2693,19437,3568,2577
"102",16679,5175,10660,5809,3517,7645,4987,9570,4344,3127,4540,6674,4697,10574,5338,9146,6026,6537,5422,15209,5515,3263,2615,4213,2813,8302,2121,3971
"103",6009,6937,8138,13028,3224,17792,15153,20110,11425,8845,5395,42669,7073,4420,4912,7252,10562,4689,25558,4372,6627,4458,5174,2527,7563,2979,14821,9913
"104",3760,3802,5827,17160,3791,2754,3518,5378,2511,4962,4772,41471,4115,25348,11950,15687,4198,2964,7160,7350,7280,7179,3843,11986,5941,2539,6424,83255
"105",3440,4288,16288,19053,8372,10960,4971,6116,3394,11402,20608,11002,7782,13825,30564,3398,19195,8737,8980,2459,10910,37363,7316,10489,7567,5045,15964,9049
"106",4611,13332,3314,4569,18165,12307,5423,3566,14261,7700,16013,3562,9099,3680,19029,62153,7759,6853,16281,11937,4651,7939,13353,3720,46747,8863,4240,4274
"107",19441,9590,4318,16464,16230,26228,4171,17967,4623,43672,3987,4773,29059,15150,5266,3227,2585,42955,5548,5079,17180,39125,3462,4522,6362,3867,11917,5714
"108",16342,4208,4197,3333,10389,10979,18935,23944,65807,38689,4861,2723,23254,2614,45942,10784,4005,5932,2434,4183,16527,10917,5780,17505,5212,25978,14402,41363
"109",4390,3153,15870,3344,28101,3074,2415,22190,4094,3481,4991,15997,21145,15705,1e+05,16969,31499,15558,54853,53628,8677,4316,14310,6067,7513,7565,5037,2622
"110",11267,17893,5653,17179,3550,4976,8500,9643,8837,3636,4815,3649,2511,9415,13593,8208,4680,18298,25782,6870,4100,2421,13945,11788,9844,8622,7448,11871
"111",1e+05,2911,3716,2699,4587,7692,3169,4687,11411,13357,4973,10930,4138,8912,5410,4201,2534,6758,13972,7049,10214,12913,4988,25684,13201,3347,3339,2733
"112",10238,5882,2676,63935,7144,3692,5807,4386,44183,7469,5090,9157,9476,31069,17054,11241,2440,12458,10346,3912,15886,13503,6095,9714,2539,2997,2528,5313
"113",11188,10230,9754,4773,13032,14604,5148,12506,13479,4032,3424,12734,2409,8703,2700,13647,16084,4014,2855,29401,11119,6305,2783,8104,3802,18526,59760,2828
"114",4678,4139,17114,3948,13080,9827,24236,6097,6784,16689,4559,12091,12117,9394,57226,7737,2567,7796,5089,6148,3633,6381,7626,31033,6528,7507,12740,7011
"115",11125,5492,13942,2734,2587,5368,2699,2971,12192,29354,5592,4815,18794,33096,9305,6221,2633,26967,4516,6673,3840,56291,2978,5816,61640,42018,14576,14927
"116",19734,14365,8504,17532,3951,4942,1e+05,3798,5167,77235,11758,5715,7954,9364,9764,11552,11358,7777,6237,16305,2673,2594,19808,5206,12293,3012,19195,35656
"117",41869,8796,4530,16623,7561,11733,5286,6743,11896,14511,5639,2487,27476,47813,21147,3979,11178,4695,22282,11120,43245,5882,73184,32542,20110,3004,25374,28767
"118",4221,37647,8691,3692,12007,3292,20232,7414,7178,15403,2478,7887,21322,3701,10455,3171,3589,12567,19545,27188,20103,9460,9707,15324,7157,5041,6264,3494
"119",16285,6948,12838,4607,10381,6017,5290,17334,25136,38519,12214,3656,2886,36499,21426,1e+05,37107,6436,2523,4397,2954,8634,4891,5704,5275,25501,34881,9923
"120",16303,60470,7930,19012,5553,7993,10502,30052,16538,11252,10471,14033,8730,5921,1e+05,7289,2938,9962,4514,5070,5406,4783,5206,19181,2493,3025,11421,4969
"121",13258,3479,5529,7470,7629,6196,6385,17608,22239,14235,21125,23368,11140,8740,43918,7378,9607,3320,13847,5633,2485,4536,4270,6434,4847,13648,14656,28757
"122",6245,14359,23181,3680,3526,5096,3675,5160,2510,2730,10462,20974,55191,3692,36714,13615,19723,4354,13889,17536,5414,4128,12256,4023,7694,10791,9563,28460
"123",4914,4378,4731,4888,6503,3749,3164,13930,16717,5797,18080,2579,3942,5718,13619,4259,5305,5076,11502,6152,5272,5261,4443,24210,10074,8259,4022,15161
"124",3824,19312,5294,4638,2424,5514,14560,10231,20885,12960,10533,7104,39503,15909,25323,8655,8524,23208,5335,4164,6801,3887,10793,4502,41614,33269,4192,15894
"125",12583,10682,2907,2802,5972,2508,5251,14279,22690,11548,4135,3863,4497,21519,12103,2979,54724,4048,9841,3857,19385,7968,11707,4152,6387,6656,4159,2450
"126",3773,18611,16019,3475,3079,5100,4011,6021,6955,3459,9559,14480,10890,7654,8043,9703,5121,12129,3514,8746,3284,58509,5800,5744,9415,3896,3535,3991
"127",6666,56630,5654,12113,10100,2546,6677,3735,4020,9165,81462,17033,10286,24941,1e+05,8001,6224,33329,10986,1e+05,4329,9424,15814,3594,17281,5349,16413,4479
"128",2521,10402,7491,4236,9203,8006,6243,7794,4250,2561,7708,12470,3762,13283,16651,6458,5406,4541,21650,9841,6163,3051,13170,6650,12960,33791,18525,12199
"129",23481,32933,5465,3347,9469,16906,16802,4212,16722,3153,4868,22194,4952,8570,13926,20131,8087,6434,3702,3347,10344,26905,47524,5345,28205,26198,18589,7133
"130",2807,7490,2659,6636,36709,2516,11098,4149,15013,4131,10312,6594,51492,4987,3691,6463,2415,10609,2620,13917,2620,6709,2656,19139,3370,18903,2335,29633
"131",5792,10334,2669,5611,21595,3897,4509,12467,6586,2426,8781,5169,12374,4855,6419,3119,20386,4791,14823,5805,5616,5273,13059,4375,6308,21999,14278,9607
"132",12416,5935,4379,15302,9325,6641,5504,70810,4944,28460,5434,16522,12040,36581,10799,2578,5642,7477,11941,1e+05,6033,5936,2581,16788,4708,5994,9783,5368
"133",6589,2617,2754,22342,9179,20246,3088,3681,4348,82715,7698,11843,7100,8940,5295,6845,2931,11224,7911,9138,4828,25918,3140,3687,3070,9153,3431,17788
"134",1e+05,3638,2721,10037,21583,12242,3322,23926,4207,19913,6535,5872,11026,12779,3628,15167,6258,10842,8036,6232,4869,5818,2735,4350,7725,19192,11273,7235
"135",10751,5898,1e+05,11576,15804,5440,4518,10098,4705,2943,4973,5024,5276,11936,4413,3311,32400,8617,10416,10628,2885,10173,26533,8324,12703,26558,3167,3121
"136",7248,8752,8840,12117,5454,44549,16469,6466,3578,5521,2717,16876,10541,19896,7629,2547,21143,18395,6436,8638,8332,6450,3955,8770,23701,3457,24881,2468
"137",3815,7882,4215,12703,39663,15332,10496,26211,6412,6091,5273,15698,26698,2629,3934,15903,4790,5685,16281,12212,3292,11565,5546,2557,4826,12262,13080,5526
"138",46113,36320,17913,4929,23468,7165,2870,13100,4474,13872,2474,29195,12781,7701,9423,14669,6016,6415,3260,13425,37546,6024,5582,8984,9224,21168,1e+05,5002
"139",6133,8692,36300,8581,3156,9706,14087,8404,3442,4187,2620,10285,6986,9110,85624,33318,10330,5327,9086,5066,4679,14169,10888,3409,4453,6387,10497,7483
"140",4315,23682,18344,12427,14485,2578,5950,5007,13126,16938,4299,12312,3868,12101,4525,7100,13592,4438,3772,3817,35632,17497,56190,3315,3988,5580,4832,3587
"141",7002,4605,2573,11627,4191,15579,40227,9962,5936,10960,7323,2918,10785,3511,28967,63414,7406,10847,13432,8430,5158,38730,17224,16844,26291,20739,8350,14291
"142",3421,18877,4345,23315,22064,32629,11372,5695,10024,2716,17168,18359,3876,12926,19695,11405,6776,8519,7415,2482,15839,3056,18523,10456,8956,32459,2365,7805
"143",21637,15415,3315,4248,7030,8217,6834,3711,3597,5700,26628,33825,6235,2408,4244,9840,3726,11788,35573,8695,14343,6553,2759,51872,9490,9632,26827,2611
"144",6560,17898,11580,7658,4014,8357,4931,15366,4549,24901,17377,8793,11114,4516,9772,43470,8887,1e+05,2672,18699,20941,5603,10903,10315,12230,16052,8579,17818
"145",7461,3275,4661,15326,2649,3635,3876,20893,4354,29987,8590,3696,6877,18172,7252,8420,3115,3888,7552,5059,13355,10567,10922,9055,3972,4152,2547,3035
"146",3445,3621,3019,4111,39596,15873,18941,10923,32013,13207,5591,3034,9096,2457,10182,5903,10491,10239,10517,2917,5339,7519,5273,4914,9619,8066,5863,34254
"147",5060,9669,21560,15306,5679,16334,6786,8580,4674,14742,15657,7486,13090,16651,21309,11110,4586,11443,3230,2785,4437,27036,7062,46616,5482,7673,10888,11589
"148",10385,16792,13295,61432,4507,7199,17003,2850,2937,2544,5289,4096,22243,20992,5448,32676,11914,18709,3886,2776,3802,4408,5735,19954,4542,12349,19532,19783
"149",70728,21507,5289,4283,4992,14013,30070,10472,23354,3086,63025,24132,21871,15481,2478,5724,5254,2425,4741,4425,3251,17034,2650,8262,6544,6229,2204,5249
"150",8629,10261,6170,13819,9444,7819,3848,6894,10181,6740,3317,7187,10969,3432,3381,4169,4102,7002,3612,2449,3849,4407,4832,2419,4255,4205,3717,19622
"151",6425,72016,9199,9569,4700,3706,2831,3024,16467,4394,8789,18426,2694,18767,4016,15487,12743,26573,12148,6294,4511,2414,2575,5052,5880,15764,24058,7570
"152",6711,23507,2630,4917,8040,8721,22489,4499,3368,23798,6251,7109,7794,13076,15015,22784,4006,5523,2502,86671,6364,3342,13620,2424,18726,8770,5152,4744
