"","MD_ULRG_01_A","MD_ULRG_02_A","MD_ULRG_03_A","MD_ULRG_04_A","MD_ULRG_05_A","MD_ULRG_06_A","MD_ULRG_07_A","MD_ULRG_08_A","MD_ULRG_09_A","MD_ULRG_10_A","MD_ULRG_11_A","MD_ULRG_12_A","MD_ULRG_13_A","MD_ULRG_14_A","MD_ULRG_01_B","MD_ULRG_02_B","MD_ULRG_03_B","MD_ULRG_04_B","MD_ULRG_05_B","MD_ULRG_06_B","MD_ULRG_07_B","MD_ULRG_08_B","MD_ULRG_09_B","MD_ULRG_10_B","MD_ULRG_11_B","MD_ULRG_12_B","MD_ULRG_13_B","MD_ULRG_14_B"
"1",7117,3806,7347,20695,15954,5439,6622,35001,11793,16274,4195,7964,4158,9183,9708,6935,4171,9365,6780,15223,5940,12920,49196,6499,14655,61402,3226,4298
"2",7960,2622,7964,4829,1e+05,4011,8026,3825,3804,9544,8473,7481,6274,16324,4117,11819,14522,3912,4665,2484,4931,77705,4063,6749,22341,3483,3085,7402
"3",5723,7287,4519,9576,21903,17646,3494,8945,15295,5586,4722,4816,8450,5069,4493,12234,6453,20654,25020,3907,7477,17136,7621,7713,31629,7502,6750,8465
"4",14801,6018,18656,16674,12609,6326,2912,3526,5156,4213,23098,6409,27026,3681,6764,7173,3445,4328,15711,5804,6295,2579,7198,3553,9043,11785,3025,10464
"5",3344,59540,2888,24811,38240,3004,41471,5637,15850,4887,63915,13460,2788,6341,7865,3090,2925,5978,5693,5952,4049,10110,12554,14781,28328,18914,6453,14240
"6",66951,18009,2710,3791,31306,24211,5588,3251,7019,14785,8298,34741,10523,10601,24599,5891,2865,24084,10225,4050,6035,6809,19896,6748,42945,5665,7455,10633
"7",3237,38037,8755,2445,5514,5887,27942,6476,16412,6033,5066,4500,5384,5810,7316,35436,14409,3252,9081,7824,2971,7093,5986,4126,4112,16671,10510,4015
"8",3206,57536,7174,3537,18004,8004,11776,5154,2407,3252,2887,7375,4462,42007,5136,26008,18245,2855,14966,12900,5219,5213,17667,2823,4778,11144,3846,12799
"9",35034,4758,8939,4087,3655,8552,5561,17597,11060,6218,9340,6022,3267,9227,13279,2456,3213,17024,27215,5191,19430,3156,4995,7666,12972,15533,3219,7383
"10",1e+05,2970,4284,16688,7343,40199,7578,14137,5236,7281,15731,7356,7390,2440,21681,4882,11155,9875,7637,9879,2880,6840,17064,25105,9460,39894,24903,16021
"11",22401,2438,3183,3935,5043,13011,7345,13577,3576,11317,12820,12726,19305,7604,5357,7205,5088,4670,15731,11791,13653,5844,5329,22537,30696,6638,4692,13828
"12",2846,6406,4529,6950,20721,9556,2857,8346,19289,18682,4602,8999,10222,21602,4461,11068,10679,3296,3924,11953,6302,6958,12458,8294,6961,13701,12131,22440
"13",18308,12423,3870,5692,19099,4054,3211,8973,2792,2917,4512,11320,8148,5218,45829,8508,2853,25563,6319,5240,18926,14372,14734,4281,29223,25223,4829,19321
"14",3883,20432,4010,3222,5575,4917,6020,6150,10388,6081,12476,6273,4180,7766,4902,10579,3642,12084,5435,7454,3181,6616,7225,6371,11338,20291,11688,4889
"15",6533,2941,3256,16623,9340,8294,7885,4849,17060,18122,29688,36310,5616,8559,2982,40468,6738,17778,15678,3988,15473,2918,10852,28981,30564,7782,5697,8724
"16",46010,21221,10808,2462,14196,16308,8736,9690,11345,2957,5449,15053,5545,3520,14039,9549,7299,2458,2719,7403,35853,6931,5631,38400,12666,9073,8790,23244
