Date,7/23/2021,
Date_std,11/14/1994,
DPM_std,265600,
DPM_curr,38170,
Half_life,12.346,
M_Leu,5.31E-08,
Voucher,4978934,
,,
Sample,CPM,Kill
MD_RTLC_01,22583.7,T
MD_RTLC_01,343912,F
MD_RTLC_01,324962,F
MD_RTLC_01,331371,F
MD_RTLC_02,23910.5,T
MD_RTLC_02,366904,F
MD_RTLC_02,398146,F
MD_RTLC_02,325152,F
MD_RTLC_03,13637,T
MD_RTLC_03,327565,F
MD_RTLC_03,343186,F
MD_RTLC_03,318515,F
MD_RTLC_04,12315.1,T
MD_RTLC_04,198527,F
MD_RTLC_04,175054,F
MD_RTLC_04,178057,F
MD_RTLC_05,5503,T
MD_RTLC_05,64244.6,F
MD_RTLC_05,67974.5,F
MD_RTLC_05,62854.2,F
MD_RTLC_06,7065.5,T
MD_RTLC_06,57580.6,F
MD_RTLC_06,55052.8,F
MD_RTLC_06,51399.7,F
MD_RTLC_07,9696,T
MD_RTLC_07,67634.2,F
MD_RTLC_07,74856.3,F
MD_RTLC_07,64757.5,F
MD_RTLC_08,9376,T
MD_RTLC_08,59762.3,F
MD_RTLC_08,57551.3,F
MD_RTLC_08,56132.2,F
MD_RTLC_09,5150.1,T
MD_RTLC_09,40521.2,F
MD_RTLC_09,40455.2,F
MD_RTLC_09,41984.6,F
MD_RTLC_10,10240.1,T
MD_RTLC_10,58409,F
MD_RTLC_10,63344.8,F
MD_RTLC_10,62671.6,F
MD_RTLC_11,87775.9,T
MD_RTLC_11,545719,F
MD_RTLC_11,620980,F
MD_RTLC_11,620950,F
MD_RTLC_12,74169.7,T
MD_RTLC_12,517591,F
MD_RTLC_12,480282,F
MD_RTLC_12,477099,F
MD_RTLC_13,75640.5,T
MD_RTLC_13,643187,F
MD_RTLC_13,672666,F
MD_RTLC_13,590659,F
MD_RTLC_14,26150,T
MD_RTLC_14,214422,F
MD_RTLC_14,209230,F
MD_RTLC_14,195674,F
MD_RTLC_15,14478.6,T
MD_RTLC_15,154354,F
MD_RTLC_15,160423,F
MD_RTLC_15,157132,F
MD_RTLC_16,10456.5,T
MD_RTLC_16,108322,F
MD_RTLC_16,92618,F
MD_RTLC_16,108618,F
MD_RTLC_17,15576.5,T
MD_RTLC_17,89471.5,F
MD_RTLC_17,87635.3,F
MD_RTLC_17,96330.2,F
MD_RTLC_18,12128.5,T
MD_RTLC_18,99248.2,F
MD_RTLC_18,89749.7,F
MD_RTLC_18,89708.4,F
MD_RTLC_19,9532.1,T
MD_RTLC_19,51488.1,F
MD_RTLC_19,56792.7,F
MD_RTLC_19,57862,F
MD_RTLC_20,9670.1,T
MD_RTLC_20,61781.3,F
MD_RTLC_20,59769.2,F
MD_RTLC_20,55877.5,F
MD_RTLC_21,9303,T
MD_RTLC_21,40093.1,F
MD_RTLC_21,50250.7,F
MD_RTLC_21,58534.1,F
MD_RTLC_22,6978,T
MD_RTLC_22,41277.5,F
MD_RTLC_22,44222.7,F
MD_RTLC_22,46007,F
MD_RTLC_23,10165.1,T
MD_RTLC_23,68122.6,F
MD_RTLC_23,61738.5,F
MD_RTLC_23,67405.6,F
MD_RTLC_24,12242.5,T
MD_RTLC_24,59350.7,F
MD_RTLC_24,61468.7,F
MD_RTLC_24,59303.1,F
