Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,P2 Abs. Count
1,Specimen1,1,A1,PBSUa,7/29/2021 8:31:25 PM,20860000
1,Specimen1,1,B1,PBSUb,7/29/2021 8:35:35 PM,27050000
1,Specimen1,1,C1,2.875Ua,7/29/2021 8:39:46 PM,24912000
1,Specimen1,1,D1,2.875Ub,7/29/2021 8:24:24 PM,51458035
1,Specimen1,1,E1,3.25Ua,7/29/2021 8:43:57 PM,25146000
1,Specimen1,1,F1,3.25Ub,7/29/2021 8:48:07 PM,14638000
1,Specimen1,1,G1,3.875Ua,7/29/2021 8:52:19 PM,15156000
1,Specimen1,1,H1,3.875Ub,7/29/2021 8:56:30 PM,14682000
1,Specimen1,1,A2,4.125Ua,7/29/2021 9:00:41 PM,78517697
1,Specimen1,1,B2,4.125Ub,7/29/2021 9:02:20 PM,68104644
1,Specimen1,1,C2,4.375Ua,7/29/2021 9:04:06 PM,139258194
1,Specimen1,1,D2,4.275Ub,7/29/2021 9:05:20 PM,141632491
1,Specimen1,1,E2,4.625Ua,7/29/2021 9:06:35 PM,191949476
1,Specimen1,1,F2,4.625Ub,7/29/2021 9:07:40 PM,184051643
1,Specimen1,1,G2,4.875Ua,7/29/2021 9:08:46 PM,352941178
1,Specimen1,1,H2,4.875Ub,7/29/2021 9:09:41 PM,375535584
1,Specimen1,1,A3,5.125Ua,7/29/2021 9:10:35 PM,292967463
1,Specimen1,1,B3,5.125Ub,7/29/2021 9:11:33 PM,283258798
1,Specimen1,1,C3,5.375Ua,7/29/2021 9:12:31 PM,260327870
1,Specimen1,1,D3,5.375Ub,7/29/2021 9:13:32 PM,250263902
1,Specimen1,1,E3,5.625Ua,7/29/2021 9:14:32 PM,232718799
1,Specimen1,1,F3,5.625Ub,7/29/2021 9:15:34 PM,242480763
1,Specimen1,1,G3,PBSSa,7/29/2021 9:27:41 PM,26643272
1,Specimen1,1,H3,PBSSb,7/29/2021 9:31:07 PM,28339560
1,Specimen1,1,A4,2.875Sa,7/29/2021 9:34:19 PM,22222000
1,Specimen1,1,B4,2.875Sb,7/29/2021 9:38:29 PM,9692000
1,Specimen1,1,C4,3.25Sa,7/29/2021 9:42:40 PM,11052000
1,Specimen1,1,D4,3.25Sb,7/29/2021 9:46:51 PM,9564000
1,Specimen1,1,E4,3.875Sa,7/29/2021 9:51:01 PM,11724000
1,Specimen1,1,F4,3.875Sb,7/29/2021 9:55:12 PM,11042000
1,Specimen1,1,G4,4.125Sa,7/29/2021 9:59:22 PM,44083378
1,Specimen1,1,H4,4.125Sb,7/29/2021 10:01:44 PM,39516816
