Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,P2 Abs. Count
1,Specimen1,1,A5,4.375Sa,7/29/2021 10:04:19 PM,96658751
1,Specimen1,1,B5,4.375Sb,7/29/2021 10:05:48 PM,83345330
1,Specimen1,1,C5,4.625Sa,7/29/2021 10:07:23 PM,131183867
1,Specimen1,1,D5,4.625Sb,7/29/2021 10:08:39 PM,126797705
1,Specimen1,1,E5,4.875Sa,7/29/2021 10:09:56 PM,261838448
1,Specimen1,1,F5,4.875Sb,7/29/2021 10:10:55 PM,230753419
1,Specimen1,1,G5,5.125Sa,7/29/2021 10:11:57 PM,210561054
1,Specimen1,1,H5,5.125Sb,7/29/2021 10:13:00 PM,193897814
1,Specimen1,1,A6,5.375Sa,7/29/2021 10:14:05 PM,197308749
1,Specimen1,1,B6,5.375Sb,7/29/2021 10:15:11 PM,178389829
1,Specimen1,1,C6,5.625Sa,7/29/2021 10:16:18 PM,173570091
1,Specimen1,1,D6,5.625Sb,7/29/2021 10:17:25 PM,167237974
1,Specimen1,1,E6,2.875Ra,7/29/2021 10:31:50 PM,44616009
1,Specimen1,1,F6,2.875Rb,7/29/2021 10:34:16 PM,23056735
1,Specimen1,1,G6,3.25Ra,7/29/2021 10:38:22 PM,14364000
1,Specimen1,1,H6,3.25Rb,7/29/2021 10:42:33 PM,14024000
1,Specimen1,1,A7,3.875Ra,7/29/2021 10:46:44 PM,17732000
1,Specimen1,1,B7,3.875Rb,7/29/2021 10:50:54 PM,17874000
1,Specimen1,1,C7,4.125Ra,7/29/2021 10:55:05 PM,47988856
1,Specimen1,1,D7,4.125Rb,7/29/2021 10:57:20 PM,57321940
1,Specimen1,1,E7,4.375Ra,7/29/2021 10:59:16 PM,146742016
1,Specimen1,1,F7,4.375Rb,7/29/2021 11:00:29 PM,173884385
1,Specimen1,1,G7,4.625Ra,7/29/2021 11:01:36 PM,193974970
1,Specimen1,1,H7,4.625Rb,7/29/2021 11:02:40 PM,223091723
1,Specimen1,1,A8,4.875Ra,7/29/2021 11:03:43 PM,428765975
1,Specimen1,1,B8,4.875Rb,7/29/2021 11:04:35 PM,412282770
1,Specimen1,1,C8,5.125Ra,7/29/2021 11:05:28 PM,317202266
1,Specimen1,1,D8,5.125Rb,7/29/2021 11:06:24 PM,319826525
1,Specimen1,1,E8,5.375Ra,7/29/2021 11:07:20 PM,256425112
1,Specimen1,1,F8,5.375Rb,7/29/2021 11:08:21 PM,247405427
1,Specimen1,1,G8,5.625Ra,7/29/2021 11:09:21 PM,325045925
1,Specimen1,1,H8,5.625Rb,7/29/2021 11:10:17 PM,312434118
1,Specimen1,1,A9,2.875Aa,7/29/2021 11:11:14 PM,733114345
1,Specimen1,1,B9,2.875Ab,7/29/2021 11:12:03 PM,849842267
1,Specimen1,1,C9,3.25Aa,7/29/2021 11:12:51 PM,547368413
1,Specimen1,1,D9,3.25Ab,7/29/2021 11:13:42 PM,556749586
1,Specimen1,1,E9,3.875Aa,7/29/2021 11:14:33 PM,1827304931
1,Specimen1,1,F9,3.875Ab,7/29/2021 11:15:18 PM,1831770912
1,Specimen1,1,G9,4.125Aa,7/29/2021 11:16:03 PM,1871327442
1,Specimen1,1,H9,4.125Ab,7/29/2021 11:16:49 PM,1699022739
1,Specimen1,1,A10,4.375Aa,7/29/2021 11:17:34 PM,1915178563
1,Specimen1,1,B10,4.375Ab,7/29/2021 11:18:19 PM,1944945778
1,Specimen1,1,C10,4.625Aa,7/29/2021 11:19:04 PM,1719124843
1,Specimen1,1,D10,4.625Ab,7/29/2021 11:19:49 PM,1767924515
1,Specimen1,1,E10,4.875Aa,7/29/2021 11:20:35 PM,467125809
1,Specimen1,1,F10,4.875Ab,7/29/2021 11:21:27 PM,471396498
1,Specimen1,1,G10,5.125Aa,7/29/2021 11:22:19 PM,920539561
1,Specimen1,1,H10,5.125Ab,7/29/2021 11:23:06 PM,944678870
1,Specimen1,1,A11,5.375Aa,7/29/2021 11:23:53 PM,447012651
1,Specimen1,1,B11,5.375Ab,7/29/2021 11:24:46 PM,553837831
1,Specimen1,1,C11,5.625Aa,7/29/2021 11:25:36 PM,1790830422
1,Specimen1,1,D11,5.625Ab,7/29/2021 11:26:22 PM,1665168471
