"","Sample","Set","Tau","Dist_dam","RTLC_Set","Date","Time..EST.","pH","DO","Temp","Lat","Long","SpC","N","uMChr","log_uMChr"
"18","MD_RTLC_18","RTLC",6.25,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,91760000,0.00369408855942574,-2.43249269730701
"19","MD_RTLC_19","RTLC",6.75,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,76550000,0.00301089310463857,-2.52130466291623
"20","MD_RTLC_20","RTLC",7.25,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,70630000,0.0027521460924074,-2.56032851613334
"21","MD_RTLC_21","RTLC",7.75,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,50480000,0.00415090869067108,-2.38185681987945
"22","MD_RTLC_22","RTLC",8.25,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,77030000,0.00356907450377451,-2.4474443861322
"23","MD_RTLC_23","RTLC",1.5,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,19835000,0.0612620120812675,-1.21280874338577
"24","MD_RTLC_24","RTLC",1.75,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,22558453,0.0730532192352301,-1.1363606412589
"25","MD_RTLC_25","RTLC",2.375,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,15830000,0.0673496691763792,-1.17166453320344
"26","MD_RTLC_26","RTLC",3.375,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,22572880,0.0260044070082146,-1.5849530452153
"27","MD_RTLC_27","RTLC",3.625,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,23610157.5,0.0204397371189383,-1.68952469408178
"28","MD_RTLC_28","RTLC",5.875,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,444903534,0.0047033903229995,-2.32758897870856
"29","MD_RTLC_29","RTLC",6.125,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,506214757,0.00544554227401799,-2.26395886615848
"30","MD_RTLC_30","RTLC",6.375,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,497875188.5,0.0056934746632017,-2.24462260768398
"31","MD_RTLC_31","RTLC",6.625,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,318012058.5,0.00498400552351489,-2.30242148504256
"32","MD_RTLC_32","RTLC",6.875,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,246186624.5,0.00533432215183718,-2.27292075982341
"33","MD_RTLC_33","RTLC",7.125,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,451687531,0.00456026146262114,-2.34101025634472
"34","MD_RTLC_34","RTLC",7.375,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,437441408,0.00404638143877212,-2.392933180155
"35","MD_RTLC_35","RTLC",7.625,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,384900020,0.00522278592905177,-2.28209777461042
"36","MD_RTLC_36","RTLC",7.875,NA,4,"9/2/2021","",NA,NA,NA,NA,NA,NA,411910601,0.00479526857275181,-2.31918706390569
"37","MD_UL_01","UL_RG",NA,0,NA,"8/25/2021","8:50",7.46,7.03,28.02,39.189083,-86.501167,0.418,NA,0.000544995493273055,-3.26360708901645
"38","MD_UL_02","UL_RG",NA,25,NA,"8/25/2021","8:54",7.52,6.98,28.06,39.188944,-86.501444,0.419,NA,0.00212856885533266,-2.67191229662269
"39","MD_UL_03","UL_RG",NA,50,NA,"8/25/2021","9:00",7.52,7.33,28.09,39.188833,-86.501861,0.419,NA,0.00420952438958033,-2.37576696987671
"40","MD_UL_04","UL_RG",NA,75,NA,"8/25/2021","9:04",7.55,7.39,28.1,39.188806,-86.502278,0.419,NA,0.00982379748053953,-2.00772059917428
"41","MD_UL_05","UL_RG",NA,100,NA,"8/25/2021","9:09",7.45,7.03,28.15,39.188722,-86.502639,0.419,NA,0.0110377091804061,-1.9571210528336
"42","MD_UL_06","UL_RG",NA,125,NA,"8/25/2021","9:22",7.47,7.14,28.13,39.188611,-86.503056,0.419,NA,0.0104485239205601,-1.98094505868544
"43","MD_UL_07","UL_RG",NA,150,NA,"8/25/2021","9:17",7.47,7.31,28.15,39.188528,-86.503333,0.419,NA,0.00789608213992038,-2.10258834251565
"44","MD_UL_08","UL_RG",NA,175,NA,"8/25/2021","9:27",7.43,6.9,28.16,39.188417,-86.503528,0.419,NA,0.0115158232688666,-1.93870500877702
"45","MD_UL_09","UL_RG",NA,200,NA,"8/25/2021","9:31",7.34,6.73,28.17,39.188333,-86.503778,0.419,NA,0.0115023333677543,-1.93921404956406
"46","MD_UL_10","UL_RG",NA,225,NA,"8/25/2021","9:36",7.32,6.77,28.17,39.188222,-86.504,0.42,NA,0.0149758059955937,-1.82460979464689
"47","MD_UL_11","UL_RG",NA,250,NA,"8/25/2021","9:41",7.32,6.73,28.17,39.188028,-86.504222,0.42,NA,0.0187607149422217,-1.72675061534153
"48","MD_UL_12","UL_RG",NA,275,NA,"8/25/2021","9:46",7.22,5.91,28.15,39.187833,-86.504333,0.421,NA,0.0204037221076116,-1.69029060005718
"49","MD_UL_13","UL_RG",NA,300,NA,"8/25/2021","9:52",7.34,6.74,28.18,39.18825,-86.504278,0.419,NA,0.0162551813400709,-1.78900818122458
"50","MD_UL_14","UL_RG",NA,325,NA,"8/25/2021","9:56",7.17,5.73,28.18,39.188389,-86.504556,0.421,NA,0.0503088943542607,-1.29835522712108
