"","Sample","Set","Tau","Dist_dam","RTLC_Set","Date","Time..EST.","pH","DO","Temp","Lat","Long","SpC","N","uMChr","log_uMChr"
"1","MD_RTLC_01","RTLC",2.875,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,33836372,0.0232095972901095,-1.63433239492541
"2","MD_RTLC_02","RTLC",3.25,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,14194000,0.0253495386477665,-1.59602994025776
"3","MD_RTLC_03","RTLC",3.875,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,17803000,0.0236043770774928,-1.627007456168
"4","MD_RTLC_04","RTLC",4.125,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,52655398,0.0128106042250348,-1.89243038583612
"5","MD_RTLC_05","RTLC",4.375,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,160313200.5,0.00444443174737154,-2.35218375882359
"6","MD_RTLC_06","RTLC",4.625,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,208533346.5,0.00355517603309626,-2.44913889048707
"7","MD_RTLC_07","RTLC",4.875,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,420524372.5,0.00443436879662796,-2.35316819040964
"8","MD_RTLC_08","RTLC",5.125,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,318514395.5,0.00361693263310857,-2.44165958008042
"9","MD_RTLC_09","RTLC",5.375,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,251915269.5,0.00267592104503609,-2.57252670488441
"10","MD_RTLC_10","RTLC",5.625,NA,3,"7/28/2021","",NA,NA,NA,NA,NA,NA,318740021.5,0.00382569094815099,-2.41729011662285
"11","MD_RTLC_11","RTLC",2.25,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,47980000,0.0311735653496529,-1.50621352421882
"12","MD_RTLC_12","RTLC",2.75,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,43100000,0.0418046907516432,-1.37877498489341
"13","MD_RTLC_13","RTLC",3.75,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,36830000,0.010664617132192,-1.97205473143453
"14","MD_RTLC_14","RTLC",4.25,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,47530000,0.0069240592949076,-2.1596392216544
"15","MD_RTLC_15","RTLC",4.75,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,71790000,0.00564270691491655,-2.24851250662169
"16","MD_RTLC_16","RTLC",5.25,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,77870000,0.00603131900703819,-2.21958770032487
"17","MD_RTLC_17","RTLC",5.75,NA,2,"7/5/2021","",NA,NA,NA,NA,NA,NA,72280000,0.00342350644188026,-2.46552885060069
