,Tau,Set,uMChr,Day_20.S,Day_20.SimpE
1,0.22184875,1,0.033135568,NA,NA
2,0.72184875,1,0.029679815,1231,0.045448749
3,1.22184875,1,0.011957306,NA,NA
4,1.72184875,1,0.024040836,1883,0.060695108
5,2.22184875,1,0.014032527,2106,0.27118427
6,2.72184875,1,0.006419105,2482,0.360513704
7,3.22184875,1,0.003082522,NA,NA
8,3.72184875,1,0.003891034,NA,NA
9,4.22184875,1,0.002574539,2117,0.365417321
10,4.72184875,1,0.002290605,NA,NA
11,5.22184875,1,0.003106977,1803,0.307014013
12,5.72184875,1,0.003021742,2110,0.374347889
13,6.22184875,1,0.002941372,2353,0.290747601
14,0.47184875,2,0.031403894,NA,NA
15,0.97184875,2,0.042113568,1812,0.193453223
16,1.97184875,2,0.010743413,2152,0.265217957
17,2.47184875,2,0.006975218,1906,0.314213843
18,2.97184875,2,0.005684398,2180,0.28967856
19,3.47184875,2,0.006075882,2478,0.237138129
20,3.97184875,2,0.003448801,2268,0.254337852
21,4.47184875,2,0.003721383,NA,NA
22,4.97184875,2,0.003033139,1547,0.356357008
23,5.47184875,2,0.002772481,NA,NA
24,5.97184875,2,0.004181578,2265,0.332776324
25,6.47184875,2,0.003595445,NA,NA
26,1.09684875,3,0.023209597,1368,0.129398709
27,1.47184875,3,0.025349539,1872,0.162157283
28,2.09684875,3,0.023604377,1905,0.181111546
29,2.34684875,3,0.012810604,1977,0.288061482
30,2.59684875,3,0.004444432,NA,NA
31,2.84684875,3,0.003555176,1758,0.359964334
32,3.09684875,3,0.004434369,2515,0.320248859
33,3.34684875,3,0.003616933,2559,0.281892222
34,3.59684875,3,0.002675921,2601,0.297774208
35,3.84684875,3,0.003825691,2289,0.259501938
36,-0.27815125,4,0.061815347,1501,0.11063626
37,-0.02815125,4,0.073713056,1001,0.050186028
38,0.59684875,4,0.06795799,1420,0.070287771
39,1.59684875,4,0.026239286,1589,0.039934177
40,1.84684875,4,0.020624354,1471,0.111886493
41,4.09684875,4,0.004745873,NA,NA
42,4.34684875,4,0.005494728,2174,0.289053397
43,4.59684875,4,0.0057449,1601,0.240753899
44,4.84684875,4,0.005029022,1971,0.206516048
45,5.09684875,4,0.005382503,2179,0.249803613
46,5.34684875,4,0.004601451,NA,NA
47,5.59684875,4,0.004082929,NA,NA
48,5.84684875,4,0.00526996,2272,0.248813785
49,6.09684875,4,0.004838581,NA,NA
