"","Sample","g_shape","g_scale","ln_shape","ln_scale","cdist","Per","Activity"
"86","MD_UL_01",1.12807415581288,0.146478838299948,-2.30505308170066,0.924470144263739,60.8483566793622,20.1405152224824,0.199291992919929
"74","MD_UL_02",1.29977649879954,0.105086275379852,-2.42244676389427,0.872455512942348,56.5202883956402,20.2185792349727,0.180941809418094
"84","MD_UL_03",1.29498604131857,0.0944541502421626,-2.53449191622406,0.843348914114049,56.7074009861337,20,0.159321593215932
"90","MD_UL_04",1.52160596283746,0.0760490405765283,-2.51983964404201,0.785302642369465,52.7385619760309,20,0.15610156101561
"98","MD_UL_05",1.44178268297893,0.0936020491328837,-2.38814009886537,0.828001467971188,53.5914278473178,20.0819672131148,0.184721847218472
"68","MD_UL_06",1.44289989408037,0.0808543070232381,-2.53339770415965,0.789002071138839,54.5918701481219,20.0589970501475,0.148021480214802
"103","MD_UL_07",1.4374747095225,0.0884503789525572,-2.449171350683,0.816694656447383,54.29337353545,20.0779727095517,0.168071680716807
"88","MD_UL_08",1.50008769301714,0.0877297431094825,-2.39689870592713,0.785553302534765,53.3799419907222,20.137299771167,0.169211692116921
"110","MD_UL_09",1.67855528498071,0.0678059298034658,-2.49970777221181,0.775267942266132,50.3652091435197,20.0729927007299,0.165011650116501
"1101","MD_UL_10",1.57739029053622,0.0755555363733434,-2.4764298663291,0.784545755930682,51.8094285027095,20.109689213894,0.164041640416404
"117","MD_UL_11",1.42927070245372,0.0948235659485288,-2.38751283918314,0.816877337508042,53.9688143282206,20,0.175181751817518
"127","MD_UL_12",1.6240774073084,0.0793751184898223,-2.3870417142123,0.777445108189256,50.776799000001,20.1267828843106,0.176991769917699
"107","MD_UL_13",1.57198134679038,0.0787452820790472,-2.43977400336906,0.79306803684083,51.4185887668786,20.1127819548872,0.168881688816888
"166","MD_UL_14",1.61564258514796,0.0856200915579882,-2.3185045905425,0.794321129927446,49.9799781084684,20.0241254523522,0.19250192501925
"85","MD_UL_01",1.21040897137403,0.121162945192205,-2.38657892818324,0.88873412080434,58.6726968968616,20,0.196951969519695
"95","MD_UL_02",1.32940516898966,0.109147749980742,-2.35139230928582,0.848350678364391,56.3700082043442,20.0845665961945,0.183451834518345
"901","MD_UL_03",1.34896770561378,0.090102879124925,-2.52178156970109,0.826699327280804,56.4073968917756,20,0.153921539215392
"78","MD_UL_04",1.51904623982981,0.0811118343166726,-2.4578279128699,0.799237056556827,53.1050090790843,20.1550387596899,0.177781777817778
"108","MD_UL_05",1.66229970386649,0.0657584116572321,-2.54359179905946,0.751523414362525,50.9588273756366,20.1117318435754,0.148231482314823
"71","MD_UL_06",1.48738423646796,0.0741649099010781,-2.57684170954309,0.77768917608554,54.9171923937789,20,0.14640146401464
"951","MD_UL_07",1.56900523654165,0.0724425287364741,-2.52592861910066,0.759017575788719,52.1091081523632,20,0.154731547315473
"1081","MD_UL_08",1.66349561286179,0.0682107731527032,-2.50596200676198,0.751933360173761,51.5521537708975,20.1492537313433,0.146941469414694
"113","MD_UL_09",1.38769637768517,0.087245198503181,-2.51305898648663,0.819239222626415,54.7868562966601,20,0.161071610716107
"952","MD_UL_10",1.52669207646509,0.0813465847429274,-2.44774943769488,0.793387485813084,53.237300605376,20.1271186440678,0.166751667516675
"1131","MD_UL_11",1.38561034849142,0.098316477176682,-2.3958370594348,0.843783562825852,54.9961567573594,20.0710479573712,0.186961869618696
"1271","MD_UL_12",1.67122828122973,0.0744096206584546,-2.4127098394208,0.762424195553231,50.6276496114272,20,0.166071660716607
"123","MD_UL_13",1.15185397720199,0.114572402811947,-2.51842530148627,0.916734423798531,57.8758323385048,20,0.163891638916389
"171","MD_UL_14",1.51532125563716,0.0936301531757334,-2.31759649083637,0.819024531122615,51.6082972074174,20.0940070505288,0.197791977919779
"87","MD_RTLC_01",0.587801753236253,0.212813477652568,-3.13302570437652,1.51799822573485,69.4999411516947,20.1388888888889,0.184421844218442
"79","MD_RTLC_02",0.468228771662746,0.172677908862466,-3.88554495244852,1.64440788839178,80.1142379840505,20,0.0802113671508125
"61","MD_RTLC_03",0.388734254274702,0.193781743538994,-4.28660413607768,1.79735596508844,85.1439890988471,20.0657894736842,0.0664491014366262
"190","MD_RTLC_04",0.394626843431158,0.0913615250681378,-4.99327606659468,1.85582733038758,83.9123975500831,20.0845665961945,0.0358320358320358
"512","MD_RTLC_05",0.411194967666594,0.191074333674661,-4.13680926537327,1.83466849794854,81.7439671912579,20,0.0979865729365298
"592","MD_RTLC_06",0.371458216319219,0.0946380798626795,-5.14107428929269,1.89600130200209,85.6442738868618,20.0270635994587,0.0348020348020348
"9011","MD_RTLC_07",0.417877567045579,0.120542306746071,-4.55174357119047,1.70423724173616,83.1558613382779,20,0.0554633222337119
"937","MD_RTLC_08",0.387849985904369,0.066867055098654,-5.35682051549291,1.86611843223336,83.5526833289284,20.0170903653066,0.0294480294480294
"778","MD_RTLC_09",0.40629660255848,0.0585351652923773,-5.35454092457118,1.79289182745407,83.0016424565938,20.0205867215646,0.0263790263790264
"923","MD_RTLC_10",0.392381469867811,0.0760426817472953,-5.19421168535009,1.840315264898,83.7420289379281,20.0086711467592,0.0317950317950318
"96","MD_RTLC_11",0.600464741456384,0.238869317519267,-2.97081784823494,1.50879151032387,70.3298710046393,20.0836820083682,0.193641936419364
"861","MD_RTLC_12",0.641853974109632,0.197373927188993,-3.01919954416246,1.50607907379922,64.6195238555024,20,0.19890198901989
"881","MD_RTLC_13",0.54716209694656,0.441375297952404,-2.56572817268589,1.65648231514016,74.2494847444651,20,0.333523335233352
"781","MD_RTLC_14",0.528524966916969,0.584067042139575,-2.36703469623401,1.77440622307075,65.2782640889879,20.1550387596899,0.988529885298853
"201","MD_RTLC_15",0.507823217377303,0.188109489023228,-3.59618003900927,1.72726216678619,73.9770414158802,20.059880239521,0.134982148899367
"141","MD_RTLC_16",0.436756284951147,0.185970285227021,-3.99629094453474,1.76919564112004,80.8951597939086,20.114122681883,0.100725112023957
"198","MD_RTLC_17",0.437115414296043,0.220534240498823,-3.82341954184956,1.81582888089962,80.4436868182585,20.0404858299595,0.120989036356794
"199","MD_RTLC_18",0.418281206599849,0.249618812545396,-3.82150579461585,1.85616846534191,81.8534301777432,20.0201207243461,0.13056443630683
"183","MD_RTLC_19",0.425322901060821,0.330907670204048,-3.49296635004068,1.91336488280226,78.7353496034225,20.0218818380744,0.227744626486669
"191","MD_RTLC_20",0.41983102685637,0.339455257666148,-3.50343841155641,1.93142371530165,78.6806487803533,20.0841219768665,0.223235207619843
